id,Fault Name,Slip Rate (mm/yr),Dip Angle (deg),Upper Depth (km),Lower Depth (km),"geometry (lon,lat)"
91,"Puysegur, 30km, 50% coupling; col: 18, row: 0",26.98632049560547,11.374463081359863,5.858669281005859,8.816975593566895,165.32870483398438,-46.08946990966797,5.858669281005859,165.24073791503906,-46.20917892456055,5.858669281005859
92,"Puysegur, 30km, 50% coupling; col: 18, row: 1",26.831417083740234,13.031349182128906,8.622715950012207,12.00497817993164,165.49888610839844,-46.15278625488281,8.622715950012207,165.4058074951172,-46.27068328857422,8.622715950012207
93,"Puysegur, 30km, 50% coupling; col: 18, row: 2",26.675891876220703,15.279006004333496,12.056536674499512,16.00933074951172,165.6614990234375,-46.21651840209961,12.056536674499512,165.5716094970703,-46.335655212402344,12.056536674499512
94,"Puysegur, 30km, 50% coupling; col: 18, row: 3",26.52233123779297,17.280986785888672,15.937612533569336,20.393484115600586,165.82510375976562,-46.27923583984375,15.937612533569336,165.73609924316406,-46.39876174926758,15.937612533569336
95,"Puysegur, 30km, 50% coupling; col: 18, row: 4",26.36760711669922,19.872161865234375,20.21902084350586,25.317861557006836,165.98081970214844,-46.342689514160156,20.21902084350586,165.90213012695312,-46.46569061279297,20.21902084350586
96,"Puysegur, 30km, 50% coupling; col: 18, row: 5",26.215417861938477,22.267501831054688,25.432069778442383,31.116039276123047,166.13235473632812,-46.40525817871094,25.432069778442383,166.0663604736328,-46.53182601928711,25.432069778442383
97,"Puysegur, 30km, 50% coupling; col: 18, row: 6",26.063556671142578,23.513038635253906,31.07929229736328,37.06365966796875,166.27919006347656,-46.468284606933594,31.07929229736328,166.2312469482422,-46.59870529174805,31.07929229736328
98,"Puysegur, 30km, 50% coupling; col: 18, row: 7",25.916278839111328,25.68064308166504,37.8830680847168,44.38338851928711,166.4193878173828,-46.53003692626953,37.8830680847168,166.39273071289062,-46.66334533691406,37.8830680847168
99,"Puysegur, 30km, 50% coupling; col: 18, row: 8",25.761035919189453,29.941394805908203,42.489707946777344,49.97641372680664,166.5764617919922,-46.594173431396484,42.489707946777344,166.56463623046875,-46.728515625,42.489707946777344
100,"Puysegur, 30km, 50% coupling; col: 18, row: 9",25.602487564086914,42.7654914855957,46.411834716796875,56.59682083129883,166.74302673339844,-46.65787887573242,46.411834716796875,166.74656677246094,-46.7924690246582,46.411834716796875
101,"Puysegur, 30km, 50% coupling; col: 18, row: 10",25.503883361816406,49.010353088378906,57.850341796875,69.17276763916016,166.8470001220703,-46.69747543334961,57.850341796875,166.86111450195312,-46.831748962402344,57.850341796875
102,"Puysegur, 30km, 50% coupling; col: 19, row: 0",26.880220413208008,12.568918228149414,5.661351203918457,8.925558090209961,165.2166748046875,-46.212005615234375,5.661351203918457,165.15420532226562,-46.3392333984375,5.661351203918457
103,"Puysegur, 30km, 50% coupling; col: 19, row: 1",26.72515296936035,13.595502853393555,8.368870735168457,11.894858360290527,165.3876953125,-46.27492904663086,8.368870735168457,165.3188018798828,-46.400604248046875,8.368870735168457
104,"Puysegur, 30km, 50% coupling; col: 19, row: 2",26.57508087158203,15.134265899658203,11.803712844848633,15.719940185546875,165.56472778320312,-46.335201263427734,11.803712844848633,165.47921752929688,-46.4559326171875,11.803712844848633
105,"Puysegur, 30km, 50% coupling; col: 19, row: 3",26.421497344970703,16.83148193359375,15.823721885681152,20.16708755493164,165.7285614013672,-46.397789001464844,15.823721885681152,165.643310546875,-46.51866912841797,15.823721885681152
106,"Puysegur, 30km, 50% coupling; col: 19, row: 4",26.268192291259766,18.673673629760742,20.28247833251953,25.08514404296875,165.88760375976562,-46.460357666015625,20.28247833251953,165.8075714111328,-46.58298110961914,20.28247833251953
107,"Puysegur, 30km, 50% coupling; col: 19, row: 5",26.11441421508789,20.27109718322754,25.070396423339844,30.267333984375,166.0417938232422,-46.52338790893555,25.070396423339844,165.97293090820312,-46.64924621582031,25.070396423339844
108,"Puysegur, 30km, 50% coupling; col: 19, row: 6",25.95755958557129,21.192625045776367,29.56404685974121,34.98661422729492,166.19296264648438,-46.58836364746094,29.56404685974121,166.1425323486328,-46.71834182739258,29.56404685974121
109,"Puysegur, 30km, 50% coupling; col: 19, row: 7",25.808578491210938,22.38087272644043,35.93806838989258,41.64949417114258,166.3383331298828,-46.650272369384766,35.93806838989258,166.3047637939453,-46.7828369140625,35.93806838989258
110,"Puysegur, 30km, 50% coupling; col: 19, row: 8",25.66011619567871,25.66890525817871,42.332435607910156,48.829986572265625,166.48460388183594,-46.71198654174805,42.332435607910156,166.4681396484375,-46.84608840942383,42.332435607910156
111,"Puysegur, 30km, 50% coupling; col: 19, row: 9",25.5029239654541,33.56014633178711,46.55569076538086,54.847869873046875,166.64572143554688,-46.77622985839844,46.55569076538086,166.6443328857422,-46.910823822021484,46.55569076538086
112,"Puysegur, 30km, 50% coupling; col: 19, row: 10",25.347732543945312,42.7497673034668,51.00144958496094,61.18341827392578,166.81146240234375,-46.83830261230469,51.00144958496094,166.8212432861328,-46.97275161743164,51.00144958496094
113,"Puysegur, 30km, 50% coupling; col: 20, row: 0",26.765756607055664,12.964879035949707,5.15382719039917,8.519133567810059,165.1298828125,-46.337608337402344,5.15382719039917,165.0780029296875,-46.46711349487305,5.15382719039917
114,"Puysegur, 30km, 50% coupling; col: 20, row: 1",26.612852096557617,14.897636413574219,7.836315155029297,11.692708969116211,165.30516052246094,-46.3987922668457,7.836315155029297,165.2399444580078,-46.52542495727539,7.836315155029297
115,"Puysegur, 30km, 50% coupling; col: 20, row: 2",26.463712692260742,15.747734069824219,11.915571212768555,15.986607551574707,165.48001098632812,-46.45849609375,11.915571212768555,165.3987274169922,-46.58066177368164,11.915571212768555
116,"Puysegur, 30km, 50% coupling; col: 20, row: 3",26.310333251953125,16.756271362304688,15.953496932983398,20.278013229370117,165.64596557617188,-46.520748138427734,15.953496932983398,165.56228637695312,-46.6422004699707,15.953496932983398
117,"Puysegur, 30km, 50% coupling; col: 20, row: 4",26.15659523010254,17.72344207763672,20.28294563293457,24.849288940429688,165.80740356445312,-46.583282470703125,20.28294563293457,165.72665405273438,-46.70572280883789,20.28294563293457
118,"Puysegur, 30km, 50% coupling; col: 20, row: 5",26.00290870666504,18.7686824798584,25.183881759643555,30.01010513305664,165.96255493164062,-46.646080017089844,25.183881759643555,165.89144897460938,-46.77137756347656,25.183881759643555
